Время[с],Напряжение[В]
0.7506,1.8777
0.7514,1.8814
0.7521,1.8814
0.7529,1.8740
0.7536,1.8740
0.7543,1.8814
0.7550,1.8814
0.7558,1.8740
0.7566,1.8814
0.7573,1.8814
0.7581,1.8703
0.7588,1.8777
0.7596,1.8814
0.7603,1.8740
0.7611,1.8777
0.7619,1.8814
0.7626,1.8777
0.7634,1.8777
0.7641,1.8814
0.7649,1.8814
0.7656,1.8740
0.7664,1.8777
0.7671,1.8852
0.7679,1.8814
0.7687,1.8814
0.7695,1.8814
0.7702,1.8777
0.7710,1.8777
0.7718,1.8777
0.7725,1.8777
0.7732,1.8777
0.7740,1.8777
0.7748,1.8814
0.7755,1.8814
0.7763,1.8777
0.7771,1.8814
0.7779,1.8777
0.7787,1.8814
0.7794,1.8814
0.7802,1.8777
0.7810,1.8814
0.7817,1.8777
0.7824,1.8703
0.7832,1.8814
0.7839,1.8740
0.7847,1.8777
0.7854,1.8814
0.7861,1.8777
0.7869,1.8777
0.7877,1.8777
0.7884,1.8777
0.7892,1.8814
0.7899,1.8703
0.7906,1.8777
0.7914,1.8814
0.7921,1.8814
0.7929,1.8814
0.7936,1.8777
0.7944,1.8814
0.7951,1.8814
0.7959,1.8777
0.7967,1.8740
0.7975,1.8814
0.7982,1.8777
0.7990,1.8777
0.7997,1.8740
0.8005,1.8814
0.8012,1.8777
0.8020,1.8777
0.8028,1.8740
0.8036,1.8814
0.8044,1.8777
0.8051,1.8777
0.8059,1.8740
0.8067,1.8814
0.8075,1.8740
0.8083,1.8777
0.8091,1.8740
0.8098,1.8740
0.8106,1.8814
0.8114,1.8814
0.8122,1.8740
0.8130,1.8777
0.8137,1.8777
0.8145,1.8814
0.8153,1.8814
0.8160,1.8740
0.8168,1.8814
0.8175,1.8777
0.8183,1.8814
0.8191,1.8777
0.8199,1.8703
0.8207,1.8814
0.8214,1.8777
0.8221,1.8814
0.8228,1.8740
0.8237,1.8777
0.8247,1.8703
0.8255,1.8740
0.8265,1.8777
0.8276,1.8814
0.8287,1.8703
0.8295,1.8814
0.8303,1.8703
0.8311,1.8814
0.8319,1.8814
0.8327,1.8777
0.8335,1.8777
0.8344,1.8740
0.8352,1.8777
0.8360,1.8740
0.8368,1.8814
0.8376,1.8777
0.8385,1.8740
0.8393,1.8777
0.8401,1.8814
0.8409,1.8777
0.8417,1.8740
0.8426,1.8814
0.8434,1.8777
0.8442,1.8777
0.8450,1.8703
0.8458,1.8814
