Время[с],Напряжение[В]
1.0278,1.7553
1.0285,1.7553
1.0292,1.7590
1.0300,1.7553
1.0307,1.7553
1.0314,1.7590
1.0321,1.7590
1.0328,1.7553
1.0335,1.7590
1.0342,1.7516
1.0349,1.7590
1.0356,1.7553
1.0363,1.7590
1.0370,1.7553
1.0377,1.7553
1.0384,1.7553
1.0392,1.7516
1.0400,1.7590
1.0407,1.7553
1.0414,1.7590
1.0421,1.7553
1.0428,1.7553
1.0436,1.7516
1.0443,1.7590
1.0450,1.7590
1.0457,1.7553
1.0464,1.7553
1.0471,1.7590
1.0478,1.7590
1.0485,1.7590
1.0492,1.7553
1.0499,1.7590
1.0506,1.7590
1.0513,1.7590
1.0521,1.7516
1.0528,1.7553
1.0535,1.7590
1.0542,1.7516
1.0549,1.7590
1.0556,1.7516
1.0565,1.7590
1.0572,1.7590
1.0579,1.7516
1.0587,1.7516
1.0594,1.7590
1.0601,1.7590
1.0609,1.7479
1.0617,1.7590
1.0624,1.7590
1.0632,1.7590
1.0639,1.7590
1.0647,1.7590
1.0654,1.7553
1.0661,1.7590
1.0669,1.7553
1.0676,1.7516
1.0684,1.7590
1.0691,1.7553
1.0699,1.7553
1.0707,1.7590
1.0714,1.7590
